Sensor(0-Laser,1-Radar)                     Timestamp                 NIS
                   1             -116537                   0
                   0             -116532           0.0883937
                   1             -116527             4.06105
                   0             -116522            0.870395
                   1             -116517             3.70552
                   0             -116512             1.61976
                   1             -116507            0.373284
                   0             -116502            0.816023
                   1             -116497             1.14339
                   0             -116492             2.90963
                   1             -116487            0.801463
                   0             -116482             1.00983
                   1             -116477             4.02058
                   0             -116472             4.18995
                   1             -116467             7.02062
                   0             -116462             2.43364
                   1             -116457            0.313191
                   0             -116452             1.96796
                   1             -116447             2.95596
                   0             -116442             3.09403
                   1             -116437             0.42867
                   0             -116432              3.2729
                   1             -116427             5.91663
                   0             -116422            0.333223
                   1             -116417             1.02023
                   0             -116412             4.20056
                   1             -116407             5.74211
                   0             -116402             3.46081
                   1             -116397             4.72218
                   0             -116392             1.48645
                   1             -116387            0.918356
                   0             -116382            0.810623
                   1             -116377             2.39065
                   0             -116372            0.108117
                   1             -116367             3.89573
                   0             -116362            0.274262
                   1             -116357               3.839
                   0             -116352            0.475895
                   1             -116347             4.32333
                   0             -116342            0.310312
                   1             -116337             5.77286
                   0             -116332             1.13595
                   1             -116327             3.16719
                   0             -116322             4.92555
                   1             -116317              5.6379
                   0             -116312             1.73805
                   1             -116307             1.59805
                   0             -116302            0.556337
                   1             -116297             1.18428
                   0             -116292             2.94091
                   1             -116287            0.327382
                   0             -116282            0.329195
                   1             -116277             1.81965
                   0             -116272            0.188503
                   1             -116267              1.5852
                   0             -116262            0.366968
                   1             -116257            0.137571
                   0             -116252            0.578338
                   1             -116247             4.80201
                   0             -116242             1.33035
                   1             -116237             3.38378
                   0             -116232             1.27208
                   1             -116227             1.72223
                   0             -116222            0.157658
                   1             -116217             5.23884
                   0             -116212            0.130003
                   1             -116207            0.109777
                   0             -116202             2.23804
                   1             -116197            0.821927
                   0             -116192            0.385027
                   1             -116187             1.81386
                   0             -116182             2.33304
                   1             -116177             2.25178
                   0             -116172             1.19486
                   1             -116167            0.748797
                   0             -116162            0.763587
                   1             -116157             5.66088
                   0             -116152            0.509189
                   1             -116147              1.1345
                   0             -116142             7.25296
                   1             -116137             1.68619
                   0             -116132            0.823544
                   1             -116127             2.20198
                   0             -116122             2.29745
                   1             -116117             2.38226
                   0             -116112             1.44457
                   1             -116107             3.54076
                   0             -116102              1.0464
                   1             -116097             2.46962
                   0             -116092             2.34004
                   1             -116087             1.31138
                   0             -116082             1.21171
                   1             -116077              7.7863
                   0             -116072             1.32686
                   1             -116067             3.79052
                   0             -116062             2.03905
                   1             -116057            0.954096
                   0             -116052             5.43745
                   1             -116047            0.529629
                   0             -116042            0.217033
                   1             -116037             1.49446
                   0             -116032            0.630015
                   1             -116027             1.77798
                   0             -116022             0.39808
                   1             -116017             4.45239
                   0             -116012            0.878296
                   1             -116007             3.04189
                   0             -116002           0.0671469
                   1             -115997             1.90449
                   0             -115992             1.17037
                   1             -115987             2.61626
                   0             -115982            0.130498
                   1             -115977              3.1609
                   0             -115972            0.182159
                   1             -115967             3.71237
                   0             -115962             0.36415
                   1             -115957             5.77955
                   0             -115952             4.04307
                   1             -115947              6.7098
                   0             -115942            0.111897
                   1             -115937             3.04116
                   0             -115932             1.67584
                   1             -115927             1.25595
                   0             -115922            0.559372
                   1             -115917             1.16697
                   0             -115912             3.54861
                   1             -115907             1.77835
                   0             -115902           0.0937982
                   1             -115897             0.50062
                   0             -115892             1.61655
                   1             -115887            0.502335
                   0             -115882             1.16244
                   1             -115877            0.407748
                   0             -115872             1.28694
                   1             -115867             6.59704
                   0             -115862             2.24737
                   1             -115857             2.66984
                   0             -115852            0.680885
                   1             -115847            0.426896
                   0             -115842             0.93597
                   1             -115837            0.150216
                   0             -115832            0.165438
                   1             -115827             2.29585
                   0             -115822             1.06688
                   1             -115817            0.614736
                   0             -115812            0.569276
                   1             -115807             2.07263
                   0             -115802             3.11183
                   1             -115797            0.116256
                   0             -115792             2.41344
                   1             -115787            0.988954
                   0             -115782             2.29744
                   1             -115777             1.23087
                   0             -115772            0.229217
                   1             -115767             1.88257
                   0             -115762           0.0487351
                   1             -115757           0.0904241
                   0             -115752             2.62367
                   1             -115747            0.133855
                   0             -115742            0.870353
                   1             -115737             3.39958
                   0             -115732             1.27842
                   1             -115727             3.39019
                   0             -115722             1.82438
                   1             -115717             1.19027
                   0             -115712             1.20439
                   1             -115707            0.886441
                   0             -115702             2.80639
                   1             -115697             5.32439
                   0             -115692             2.14162
                   1             -115687             4.88481
                   0             -115682            0.944426
                   1             -115677             3.72541
                   0             -115672             2.41965
                   1             -115667             7.55317
                   0             -115662             2.10369
                   1             -115657             3.39293
                   0             -115652             10.3642
                   1             -115647             2.40578
                   0             -115642             4.26907
                   1             -115637             4.18833
                   0             -115632             2.86498
                   1             -115627             1.45886
                   0             -115622            0.792559
                   1             -115617             6.66168
                   0             -115612             1.10835
                   1             -115607            0.856517
                   0             -115602             3.47008
                   1             -115597             1.25033
                   0             -115592             0.25695
                   1             -115587             2.18389
                   0             -115582            0.705961
                   1             -115577            0.667226
                   0             -115572            0.605588
                   1             -115567             2.90016
                   0             -115562             2.52438
                   1             -115557            0.229468
                   0             -115552            0.907337
                   1             -115547            0.627448
                   0             -115542             1.21568
                   1             -115537             3.60059
                   0             -115532            0.690311
                   1             -115527             8.78713
                   0             -115522             2.02513
                   1             -115517            0.455177
                   0             -115512            0.963178
                   1             -115507             2.59461
                   0             -115502            0.809507
                   1             -115497           0.0685386
                   0             -115492             3.95885
                   1             -115487             3.47719
                   0             -115482             3.84372
                   1             -115477             4.64393
                   0             -115472            0.230172
                   1             -115467             1.56516
                   0             -115462             1.74896
                   1             -115457             1.02511
                   0             -115452             3.48218
                   1             -115447             1.91725
                   0             -115442          0.00164591
                   1             -115437             1.56375
                   0             -115432             1.47838
                   1             -115427             3.42454
                   0             -115422             1.97551
                   1             -115417             3.93349
                   0             -115412             7.18114
                   1             -115407             1.41871
                   0             -115402            0.295941
                   1             -115397            0.872617
                   0             -115392            0.595557
                   1             -115387             2.43062
                   0             -115382             2.15446
                   1             -115377             3.33423
                   0             -115372             2.81588
                   1             -115367            0.642199
                   0             -115362            0.121654
                   1             -115357            0.671709
                   0             -115352            0.324245
                   1             -115347             2.76806
                   0             -115342             0.88278
                   1             -115337              10.479
                   0             -115332             3.44258
                   1             -115327             2.63549
                   0             -115322             1.33718
                   1             -115317              2.6382
                   0             -115312             1.49037
                   1             -115307             1.69521
                   0             -115302            0.522193
                   1             -115297             1.09393
                   0             -115292             2.85128
                   1             -115287             1.72332
                   0             -115282            0.228554
                   1             -115277              3.9721
                   0             -115272             1.35708
                   1             -115267             4.68773
                   0             -115262            0.167952
                   1             -115257                1.16
                   0             -115252            0.282392
                   1             -115247            0.425363
                   0             -115242            0.451173
                   1             -115237             4.66237
                   0             -115232             5.25291
                   1             -115227             1.91987
                   0             -115222             1.56099
                   1             -115217             0.69892
                   0             -115212              3.7475
                   1             -115207            0.586649
                   0             -115202             5.29833
                   1             -115197             4.11304
                   0             -115192           0.0179495
                   1             -115187             4.91121
                   0             -115182              0.2699
                   1             -115177             4.22431
                   0             -115172            0.617442
                   1             -115167             2.46882
                   0             -115162             6.69337
                   1             -115157             2.91808
                   0             -115152              3.7118
                   1             -115147            0.583099
                   0             -115142            0.848236
                   1             -115137              4.2097
                   0             -115132             1.44971
                   1             -115127             4.99889
                   0             -115122             1.07651
                   1             -115117             5.45598
                   0             -115112             0.31703
                   1             -115107             2.46965
                   0             -115102             7.33688
                   1             -115097             3.45234
                   0             -115092            0.947246
                   1             -115087             3.76206
                   0             -115082             3.10079
                   1             -115077              2.1677
                   0             -115072            0.344839
                   1             -115067             6.40929
                   0             -115062             1.49509
                   1             -115057            0.664963
                   0             -115052             1.31734
                   1             -115047             5.78537
                   0             -115042           0.0227336
                   1             -115037             1.42025
                   0             -115032            0.767894
                   1             -115027            0.626861
                   0             -115022            0.122321
                   1             -115017             1.79864
                   0             -115012            0.321591
                   1             -115007             1.80115
                   0             -115002             1.08019
                   1             -114997            0.868062
                   0             -114992            0.494692
                   1             -114987              4.9947
                   0             -114982             1.82321
                   1             -114977              5.8929
                   0             -114972               1.556
                   1             -114967             1.16065
                   0             -114962           0.0969456
                   1             -114957           0.0744947
                   0             -114952            0.597728
                   1             -114947             1.75692
                   0             -114942             8.06683
                   1             -114937            0.777172
                   0             -114932            0.158115
                   1             -114927             1.96353
                   0             -114922             1.38605
                   1             -114917             5.46704
                   0             -114912            0.120055
                   1             -114907             1.28914
                   0             -114902            0.461176
                   1             -114897             1.85836
                   0             -114892             2.60102
                   1             -114887             7.20495
                   0             -114882            0.477033
                   1             -114877             4.89645
                   0             -114872            0.429228
                   1             -114867             4.74651
                   0             -114862             1.64625
                   1             -114857             3.33487
                   0             -114852             5.66935
                   1             -114847            0.812732
                   0             -114842            0.417561
                   1             -114837             3.31421
                   0             -114832             4.60643
                   1             -114827             1.73302
                   0             -114822              1.0211
                   1             -114817            0.360916
                   0             -114812             4.32363
                   1             -114807             6.53676
                   0             -114802             6.84021
                   1             -114797             3.77833
                   0             -114792             3.16581
                   1             -114787             6.09524
                   0             -114782             1.85588
                   1             -114777             3.58293
                   0             -114772            0.176422
                   1             -114767             2.73159
                   0             -114762             1.44389
                   1             -114757            0.735741
                   0             -114752             1.97849
                   1             -114747             2.29865
                   0             -114742            0.161295
                   1             -114737            0.816324
                   0             -114732            0.728694
                   1             -114727             2.57229
                   0             -114722             6.96226
                   1             -114717            0.340873
                   0             -114712             1.53995
                   1             -114707              5.1446
                   0             -114702             1.47581
                   1             -114697              2.3462
                   0             -114692             2.20622
                   1             -114687             2.56039
                   0             -114682             2.50152
                   1             -114677             6.86091
                   0             -114672            0.684567
                   1             -114667             2.32234
                   0             -114662             1.12448
                   1             -114657            0.312681
                   0             -114652              1.7293
                   1             -114647            0.436071
                   0             -114642              1.9079
                   1             -114637              1.9003
                   0             -114632            0.648626
                   1             -114627             3.54026
                   0             -114622            0.677621
                   1             -114617             4.09137
                   0             -114612            0.329104
                   1             -114607             2.56553
                   0             -114602             2.44883
                   1             -114597             4.99883
                   0             -114592            0.191699
                   1             -114587              1.0919
                   0             -114582             3.00102
                   1             -114577              2.5795
                   0             -114572             1.30865
                   1             -114567             2.58612
                   0             -114562            0.265272
                   1             -114557             1.38286
                   0             -114552             2.03185
                   1             -114547            0.412343
                   0             -114542             5.38705
                   1             -114537             3.40243
                   0             -114532             2.43267
                   1             -114527             1.01967
                   0             -114522             3.86535
                   1             -114517             2.25887
                   0             -114512             2.35738
                   1             -114507             0.82155
                   0             -114502             1.10311
                   1             -114497             1.29223
                   0             -114492             2.91838
                   1             -114487             7.73465
                   0             -114482             0.11723
                   1             -114477             3.92688
                   0             -114472            0.066923
                   1             -114467             11.5356
                   0             -114462             1.18538
                   1             -114457             2.09992
                   0             -114452             3.90947
                   1             -114447             1.02405
                   0             -114442            0.204349
                   1             -114437            0.878556
                   0             -114432            0.346599
                   1             -114427             3.29233
                   0             -114422            0.995256
                   1             -114417             1.65049
                   0             -114412             6.40516
                   1             -114407             5.10885
                   0             -114402             2.26248
                   1             -114397             2.70011
                   0             -114392            0.540555
                   1             -114387             2.77878
                   0             -114382             3.29009
                   1             -114377             2.78089
                   0             -114372             2.95973
                   1             -114367             4.12127
                   0             -114362             0.51563
                   1             -114357             2.04092
                   0             -114352            0.143303
                   1             -114347             6.57146
                   0             -114342            0.833374
                   1             -114337              2.8248
                   0             -114332             2.02224
                   1             -114327            0.673798
                   0             -114322            0.633868
                   1             -114317            0.496863
                   0             -114312            0.748362
                   1             -114307            0.926845
                   0             -114302           0.0252651
                   1             -114297              1.6643
                   0             -114292             2.34575
                   1             -114287             2.42063
                   0             -114282            0.252489
                   1             -114277             1.12772
                   0             -114272             6.16356
                   1             -114267             3.04218
                   0             -114262             2.14549
                   1             -114257             6.07122
                   0             -114252            0.983664
                   1             -114247             4.86609
                   0             -114242             2.19385
                   1             -114237             4.17509
                   0             -114232             3.12306
                   1             -114227             1.69828
                   0             -114222            0.575909
                   1             -114217             1.37114
                   0             -114212              5.2393
                   1             -114207             4.38952
                   0             -114202            0.986039
                   1             -114197             3.61739
                   0             -114192            0.075649
                   1             -114187             1.78973
                   0             -114182            0.988304
                   1             -114177             4.44155
                   0             -114172             1.87894
                   1             -114167            0.999091
                   0             -114162            0.526395
                   1             -114157             1.63068
                   0             -114152            0.833644
                   1             -114147               2.205
                   0             -114142             1.62851
                   1             -114137             7.85126
                   0             -114132             2.27298
                   1             -114127            0.937786
                   0             -114122             3.63735
                   1             -114117              9.2195
                   0             -114112           0.0558405
                   1             -114107             1.13579
                   0             -114102            0.804511
                   1             -114097             2.00117
                   0             -114092            0.306931
                   1             -114087            0.797864
                   0             -114082             3.93497
                   1             -114077             1.46302
                   0             -114072             2.91237
                   1             -114067             3.28525
                   0             -114062            0.834291
                   1             -114057             3.27828
                   0             -114052             1.55843
